rootid,store,categories,category_image,description,url_key,is_active,meta_title,url_path,is_anchor,meta_keywords,meta_description,display_mode
2,admin,Hygiéne Cuisine  Hygiéne du linge ,,,hygiene-cuisine-hygiene-du-linge,1,,hygiene-cuisine-hygiene-du-linge.html,1,,,PRODUCTS
2,admin,Hygiéne Cuisine  Hygiéne du linge/Lessives liquides assouplissants linge,lessives-liquides-img.jpg,,,1,,,0,,,PRODUCTS
2,admin,Hygiéne Cuisine  Hygiéne du linge/Lessives liquides assouplissants linge/Lessives liquide,,,,1,,,0,,,PRODUCTS
2,admin,Hygiéne Cuisine  Hygiéne du linge/Lessives liquides assouplissants linge/Lessive en poudre,,,,1,,,0,,,PRODUCTS
2,admin,Hygiéne Cuisine  Hygiéne du linge/Lessives liquides assouplissants linge/Assouplissant liquide,,,,1,,,0,,,PRODUCTS
2,admin,Hygiéne Cuisine  Hygiéne du linge/Nettoyants désinfectants (cuisine),nettoyants-img.jpg,,,1,,,0,,,PRODUCTS
2,admin,Hygiéne Cuisine  Hygiéne du linge/Nettoyants désinfectants (cuisine)/Nettoyants désinfectants (contact alimentaire),,,,1,,,0,,,PRODUCTS
2,admin,Hygiéne Cuisine  Hygiéne du linge/Nettoyants désinfectants (cuisine)/Dégraissants contact alimentaire,,,,1,,,0,,,PRODUCTS
2,admin,Hygiéne Cuisine  Hygiéne du linge/Nettoyants désinfectants (cuisine)/Dégraissants fours et plaques,,,,1,,,0,,,PRODUCTS
2,admin,Hygiéne Cuisine  Hygiéne du linge/Nettoyants désinfectants (cuisine)/Détergent désinfectant multi-usages,,,,1,,,0,,,PRODUCTS
2,admin,Hygiéne Cuisine  Hygiéne du linge/Nettoyants désinfectants (cuisine)/Liquide plonge manuelle,,,,1,,,0,,,PRODUCTS
2,admin,Hygiéne Cuisine  Hygiéne du linge/Brosserie alimentaire,brosserie-img.jpg,,,1,,,0,,,PRODUCTS
2,admin,Hygiéne Cuisine  Hygiéne du linge/Brosserie alimentaire/Balais brosse lave-ponts,,,,1,,,0,,,PRODUCTS
2,admin,Hygiéne Cuisine  Hygiéne du linge/Brosserie alimentaire/Brosse poignée,,,,1,,,0,,,PRODUCTS
2,admin,Hygiéne Cuisine  Hygiéne du linge/Brosserie alimentaire/Raclette sols,,,,1,,,0,,,PRODUCTS
2,admin,Hygiéne Cuisine  Hygiéne du linge/Lavage Vaisselle en  machine,lavage-vaisselle.jpg,,,1,,,0,,,PRODUCTS
2,admin,Hygiéne Cuisine  Hygiéne du linge/Lavage Vaisselle en  machine/Pastilles de lavage machine,,,,1,,,0,,,PRODUCTS
2,admin,Hygiéne Cuisine  Hygiéne du linge/Lavage Vaisselle en  machine/Liquide lavage machine,,,,1,,,0,,,PRODUCTS
2,admin,Hygiéne Cuisine  Hygiéne du linge/Appareils automatiques de dilution,appareils-img.jpg,,,1,,,0,,,PRODUCTS
2,admin,Hygiéne Cuisine  Hygiéne du linge/Appareils automatiques de dilution/Appareils de dilution,,,,1,,,0,,,PRODUCTS
2,admin,Hygiéne Cuisine  Hygiéne du linge/Appareils automatiques de dilution/Doseurs automatiques,,,,1,,,0,,,PRODUCTS
2,admin,Collecte des Déchets,,,collecte-des-dechets,1,,collecte-des-dechets.html,1,,,PRODUCTS
